tree_id,score,px_xmin,px_ymin,px_xmax,px_ymax,crown_width_px,crown_height_px,crown_diameter_px,crown_width_m,crown_height_m,crown_diameter_m,geo_x,geo_y,mean_r,mean_g,mean_b,std_r,std_g,std_b,greenness_exg,vari,brightness,tile_idx,tile_origin_col,tile_origin_row
0,0.7458,1064.0,1840.0,1102.0,1880.0,38.0,40.0,39.0,2.036,2.144,2.09,638422.154564,3863613.194496,136.1,141.4,57.9,25.1,30.5,17.2,88.77,0.024,111.8,0,0,0
1,0.7323,1691.0,1970.0,1726.0,2000.0,35.0,30.0,32.5,1.876,1.608,1.742,638455.675336,3863606.496203,121.0,130.3,55.9,19.8,23.7,14.6,83.74,0.0476,102.4,0,0,0
2,0.6995,1324.0,2003.0,1360.0,2038.0,36.0,35.0,35.5,1.929,1.876,1.902,638436.034468,3863604.593888,134.7,138.7,66.2,20.0,22.7,23.5,76.51,0.0194,113.2,0,0,0
3,0.6924,667.0,1874.0,709.0,1915.0,42.0,41.0,41.5,2.251,2.197,2.224,638400.98637,3863611.345767,122.9,133.7,48.2,27.4,29.4,16.3,96.21,0.0516,101.6,0,0,0
4,0.6907,1451.0,1501.0,1482.0,1533.0,31.0,32.0,31.5,1.661,1.715,1.688,638442.706468,3863631.574613,125.1,134.8,45.5,24.0,25.7,16.2,98.95,0.0452,101.8,0,0,0
5,0.6901,881.0,1973.0,922.0,2012.0,41.0,39.0,40.0,2.197,2.09,2.144,638412.427913,3863606.094305,142.1,147.8,55.2,31.9,36.1,19.2,98.36,0.0245,115.1,0,0,0
6,0.681,1215.0,1604.0,1242.0,1632.0,27.0,28.0,27.5,1.447,1.5,1.474,638429.951961,3863626.162392,122.1,130.3,54.7,22.1,27.5,13.5,83.71,0.0415,102.4,0,0,0
7,0.6806,1477.0,1585.0,1513.0,1620.0,36.0,35.0,35.5,1.929,1.876,1.902,638444.233793,3863626.99298,121.6,131.5,44.2,24.3,27.8,14.8,97.03,0.047,99.1,0,0,0
8,0.6783,473.0,1920.0,499.0,1947.0,26.0,27.0,26.5,1.393,1.447,1.42,638390.161117,3863609.2559,119.9,130.1,41.2,25.7,26.7,16.5,99.08,0.0488,97.1,0,0,0
9,0.6584,2016.0,1727.0,2046.0,1759.0,30.0,32.0,31.0,1.608,1.715,1.661,638472.958228,3863619.464099,149.7,154.3,56.3,29.6,30.0,15.8,102.49,0.0183,120.1,0,0,0
10,0.6572,792.0,1851.0,832.0,1887.0,40.0,36.0,38.0,2.144,1.929,2.036,638407.631575,3863612.712219,121.0,133.2,45.8,31.3,32.6,18.8,99.58,0.0585,100.0,0,0,0
11,0.6484,1411.0,1513.0,1434.0,1537.0,23.0,24.0,23.5,1.233,1.286,1.259,638440.348492,3863631.145922,114.1,126.9,39.4,25.8,28.6,15.4,100.19,0.0632,93.5,0,0,0
12,0.644,1966.0,1792.0,1995.0,1823.0,29.0,31.0,30.0,1.554,1.661,1.608,638470.251915,3863616.007779,116.6,126.1,46.1,27.0,26.1,17.8,89.53,0.0484,96.3,0,0,0
13,0.6435,1800.0,1959.0,1836.0,1993.0,36.0,34.0,35.0,1.929,1.822,1.876,638461.543481,3863606.97848,131.1,133.9,58.0,24.2,25.9,17.7,78.7,0.0135,107.6,0,0,0
14,0.6427,1038.0,1635.0,1067.0,1663.0,29.0,28.0,28.5,1.554,1.5,1.527,638420.520057,3863624.501215,93.5,102.9,41.4,21.5,24.6,13.6,71.06,0.0612,79.3,0,0,0
15,0.6389,2010.0,1775.0,2039.0,1804.0,29.0,29.0,29.0,1.554,1.554,1.554,638472.609891,3863616.972334,137.2,143.6,64.7,31.8,31.1,23.7,85.19,0.0292,115.2,0,0,0
16,0.6367,1086.0,1909.0,1115.0,1937.0,29.0,28.0,28.5,1.554,1.5,1.527,638423.092395,3863609.818556,135.2,143.7,51.4,24.3,28.5,16.4,100.85,0.0373,110.1,0,0,0
17,0.636,823.0,1930.0,862.0,1965.0,39.0,35.0,37.0,2.09,1.876,1.983,638409.266081,3863608.505691,125.7,137.8,46.7,32.7,34.9,18.7,103.21,0.0557,103.4,0,0,0
